point/0/_name,point/0/_x,point/0/_y,point/1/_name,point/1/_x,point/1/_y,point/2/_name,point/2/_x,point/2/_y,point/3/_name,point/3/_x,point/3/_y,_index,_rejected
bl,643.369,788.654,tl,725.44,286.566,tr,1111.97,248.837,br,1117.02,771.367,1,false
bl,646.817,786.206,tl,727.79,283.995,tr,1114.79,246.905,br,1119.57,769.517,2,false
bl,649.98,785.877,tl,731.489,283.129,tr,1117.3,246.603,br,1121.99,769.33,3,false
bl,648.455,786.756,tl,731.316,284.05,tr,1117.17,247.518,br,1120.94,770.22,4,false
bl,645.193,785.709,tl,727.231,283.242,tr,1114.96,247.235,br,1119.62,768.734,5,false
bl,646.389,786.211,tl,725.446,281.524,tr,1112.57,245.525,br,1120.29,769.315,6,false
bl,648.348,791.391,tl,725.84,285.478,tr,1112.97,248.765,br,1122.32,772.855,7,false
bl,648.808,795.839,tl,725.201,290.273,tr,1112.44,253.451,br,1123.88,776.264,8,false
bl,648.772,797.591,tl,723.571,292.042,tr,1111.49,254.597,br,1125.05,777.392,9,false
bl,651.023,800.38,tl,723.121,292.509,tr,1111.57,255.084,br,1126.98,780.231,10,false
bl,654.431,807.801,tl,724.744,298.911,tr,1113.26,262.578,br,1131.0,787.386,11,false
bl,655.475,810.513,tl,726.558,304.198,tr,1114.7,267.785,br,1134.01,789.555,12,false
bl,657.264,807.66,tl,726.34,300.643,tr,1115.63,264.814,br,1136.09,786.798,13,false
bl,654.589,809.892,tl,723.48,300.828,tr,1112.82,264.954,br,1133.95,788.59,14,false
bl,648.978,812.932,tl,717.251,303.069,tr,1107.37,268.234,br,1130.59,790.864,15,false
bl,644.947,813.433,tl,712.022,302.604,tr,1102.86,269.483,br,1128.29,791.749,16,false
bl,643.468,812.704,tl,709.721,301.277,tr,1101.81,269.972,br,1128.11,792.404,17,false
bl,641.261,810.509,tl,706.521,298.658,tr,1099.9,268.497,br,1127.73,790.447,18,false
bl,639.957,808.946,tl,703.552,294.56,tr,1098.17,266.126,br,1127.76,789.289,19,false
bl,642.095,808.651,tl,702.55,293.962,tr,1097.8,266.625,br,1130.64,788.694,20,false
bl,643.007,805.027,tl,701.973,291.077,tr,1097.85,264.357,br,1132.24,785.671,21,false
bl,642.887,803.933,tl,699.859,288.086,tr,1096.21,263.093,br,1131.25,784.91,22,false
bl,637.774,806.84,tl,694.545,289.973,tr,1091.5,267.318,br,1126.77,788.803,23,false
bl,628.705,801.955,tl,683.523,288.021,tr,1080.51,270.12,br,1118.27,786.799,24,false
bl,628.765,802.063,tl,682.176,287.047,tr,1079.05,271.483,br,1117.31,787.861,25,false
bl,633.236,799.352,tl,685.661,288.173,tr,1080.1,275.076,br,1119.8,787.591,26,false
bl,634.788,794.243,tl,687.837,284.733,tr,1082.26,274.061,br,1121.32,784.429,27,false
bl,634.432,793.063,tl,686.529,282.11,tr,1080.25,274.918,br,1119.78,784.46,28,false
bl,633.262,793.992,tl,683.072,282.759,tr,1076.1,277.28,br,1117.5,785.712,29,false
bl,632.124,796.947,tl,681.641,285.338,tr,1075.32,281.624,br,1117.5,789.547,30,false
bl,636.15,797.611,tl,684.501,290.924,tr,1075.72,291.438,br,1119.51,793.474,31,false
bl,635.407,791.353,tl,682.248,285.949,tr,1074.45,288.921,br,1117.45,789.559,32,false
bl,674.235,780.409,tl,689.39,280.202,tr,1077.96,287.765,br,1130.26,785.913,33,false
bl,649.758,775.434,tl,689.068,270.42,tr,1079.8,280.471,br,1129.07,777.496,34,false
bl,653.502,771.768,tl,691.308,267.512,tr,1082.05,278.181,br,1132.86,774.439,35,false
bl,660.927,763.819,tl,697.749,258.619,tr,1087.82,272.241,br,1139.62,768.123,36,false
bl,666.479,750.075,tl,699.801,246.785,tr,1089.67,263.95,br,1143.63,756.456,37,false
bl,664.032,747.146,tl,698.15,240.791,tr,1088.12,260.312,br,1142.65,754.677,38,false
bl,662.91,753.912,tl,694.049,248.951,tr,1083.23,271.971,br,1139.82,763.05,39,false
bl,663.272,748.897,tl,694.808,246.125,tr,1083.46,271.059,br,1140.58,760.447,40,false
bl,659.25,759.07,tl,691.191,252.211,tr,1078.7,282.513,br,1137.21,773.982,41,false
bl,658.581,761.11,tl,690.277,256.886,tr,1076.48,290.176,br,1135.18,778.065,42,false
bl,692.056,761.585,tl,692.832,258.395,tr,1075.99,297.759,br,1142.85,785.891,43,false
bl,683.921,764.623,tl,705.126,263.916,tr,1087.71,305.796,br,1152.39,790.048,44,false
bl,697.898,763.963,tl,721.574,261.707,tr,1102.53,306.639,br,1167.43,791.783,45,false
bl,701.47,765.212,tl,728.103,264.638,tr,1108.61,310.833,br,1172.32,794.373,46,false
bl,712.535,761.738,tl,738.094,262.931,tr,1117.37,310.94,br,1182.61,792.276,47,false
bl,716.364,762.742,tl,741.904,263.216,tr,1120.56,311.848,br,1185.8,793.947,48,false
bl,727.856,761.915,tl,750.662,265.765,tr,1128.07,314.484,br,1195.65,794.045,49,false
bl,736.168,755.439,tl,760.852,261.059,tr,1135.78,311.592,br,1201.82,788.948,50,false
bl,737.232,756.471,tl,761.71,262.165,tr,1136.06,313.329,br,1202.77,790.659,51,false
bl,744.186046512,753.488372093,tl,766.279069767,261.627906977,tr,1138.37209302,312.790697674,br,1203.48837209,787.209302326,52,false
bl,740.831,746.319,tl,762.736,254.571,tr,1135.5,309.428,br,1201.53,784.497,53,false
bl,737.994,748.643,tl,760.893,255.112,tr,1133.71,311.13,br,1199.62,787.172,54,false
bl,733.881,746.901,tl,758.904,255.963,tr,1131.86,313.19,br,1197.44,786.219,55,false
bl,729.19,746.275,tl,756.557,253.438,tr,1129.0,311.887,br,1193.54,786.512,56,false
bl,721.796,752.617,tl,747.066,259.713,tr,1118.92,319.277,br,1186.49,792.672,57,false
bl,721.205,751.09,tl,743.974,257.478,tr,1116.9,318.199,br,1185.65,791.789,58,false
bl,719.905,753.148,tl,744.545,259.095,tr,1117.13,319.88,br,1186.75,794.103,59,false
bl,728.715,748.849,tl,751.181,256.841,tr,1125.02,317.665,br,1196.91,790.242,60,false
bl,735.221,749.474,tl,757.056,255.807,tr,1130.94,316.071,br,1203.5,790.819,61,false
bl,749.982,752.541,tl,768.537,262.624,tr,1141.23,321.217,br,1216.75,793.941,62,false
bl,756.748,751.489,tl,774.773,261.503,tr,1148.05,319.466,br,1223.66,792.214,63,false
bl,765.94,756.965,tl,783.252,268.151,tr,1156.02,323.129,br,1232.87,795.583,64,false
bl,770.991,754.792,tl,786.659,266.763,tr,1160.1,321.129,br,1239.13,792.789,65,false
